updated=67
lowConfidence=932

actions-by-need/accountability/AccountabilityActions: DUTY_CHART_POST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: DONATE_TO_POOR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: REBUILD_AFTER_DISASTER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: CLEAN_PUBLIC_SPACE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: HOST_OPEN_FORUM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: DENY_RUMOR_PUBLICLY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: EXPOSE_FALSE_ACCUSER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: PUBLISH_TRANSPARENT_LEDGER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: MEDIATE_NEIGHBOR_DISPUTE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: HONOR_LOCAL_HEROES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: EMERGENCY_DRILL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: STOCKPILE_ESSENTIALS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: DIVERSIFY_CROPS_CRAFTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: CROSS_TRAIN_ROLES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: MUTUAL_AID_PACT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: REPAIR_SPRINT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: FIREBREAK_AND_CLEARING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: FLOOD_LEVEE_DITCHES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: QUARANTINE_PROTOCOL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: BACKUP_TOOLS_AND_PARTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: SAFE_WATER_CACHE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: RISK_REGISTER_COUNCIL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: EVACUATION_ROUTES_MAP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: WORKLOAD_ROTATION_PLAN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: COPING_RITUALS_CIRCLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/resilience/ResilienceActions: CONTINGENCY_FUND -> rest (sleep and passive recovery; cost-signals)
actions-by-need/respect/RespectActions: FORMAL_GREETING -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: HONORIFIC_ADDRESS -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: BOW_RITUAL -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: PUBLIC_PRAISE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: OFFER_GIFT_TOKEN -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: PRESENT_TRIBUTE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: DEFERENCE_SEATING -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: YIELD_WAY -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: OBSERVE_ETIQUETTE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: COMPLY_DRESS_CODE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/respect/RespectActions: ATTEND_SPEECH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/respect/RespectActions: MAINTAIN_SILENCE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/respect/RespectActions: ESCORT_ELDER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/respect/RespectActions: PERFORM_SERVICE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/respect/RespectActions: HONOR_ANCESTORS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/respect/RespectActions: UPHOLD_PROTOCOL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: GREET_NEIGHBORS -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/social/SocialNeedActions: SMALL_TALK_MARKET -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: SHARE_NEWS_BULLETIN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: VISIT_RELATIVES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: HOST_TEAHOUSE_TABLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: HELP_WITH_CHORES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: INTRODUCE_CONTACTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: MEDIATE_DISPUTE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: JOIN_COMMON_WORK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: SING_ALONG_EVENING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: EXCHANGE_GIFTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: VISIT_SICK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: CELEBRATE_NAME_DAY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: FORM_INTEREST_CIRCLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: MENTOR_JUNIOR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/social/SocialNeedActions: NEIGHBORHOOD_WATCH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: PRIVATE_PRAYER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: OFFER_INCENSE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: DONATE_TO_TEMPLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: ATTEND_SERMON -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: KEEP_FAST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: PURIFICATION_RITE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: PILGRIMAGE_STEP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: CONSULT_ORACLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: VOW_OATH_BEFORE_ALTAR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: COMMUNITY_VIGIL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: BLESS_TOOLS_OR_WEAPONS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: FUNERAL_RITES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: EXORCISM_OR_BANISHMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: FESTIVAL_PROCESSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: TEMPLE_VOLUNTEER_SERVICE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/spirit/SpiritActions: CONSECRATE_SHRINE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: MAINTAIN_STORAGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: REPAIR_TOOLS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: HOLD_COUNCIL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: FOLLOW_TRADITION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: MANAGE_SUPPLIES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: RESTORE_ORDER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: MEDIATE_CONFLICT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: HOLD_CEREMONY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: KEEP_RECORDS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stability/StabilityActions: PLANT_SEASONAL_CROPS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: DISPLAY_INSIGNIA -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/status/StatusActions: WEAR_FINE_CLOTHING -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/status/StatusActions: PARADE_RETINUE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: SPONSOR_FEAST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: HOST_TOURNAMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: COMMISSION_ART -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: PATRON_ARTISAN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: ENDOW_TEMPLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: HOLD_AUDIENCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: BESTOW_TITLES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: AWARD_PRIZES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: SIT_HIGH_SEAT -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/status/StatusActions: RECITE_GENEALOGY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: BOAST_DEEDS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/status/StatusActions: PROCESSION_CEREMONY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: BREATHING_DRILL -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/stress/StressActions: WALK_SHORT_SOLO -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: QUIET_TEATIME -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/stress/StressActions: STRETCH_AND_LOOSEN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: JOURNAL_UNLOAD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: POWER_NAP -> light (light domestic, craft or self-care labor; cost-signals)
actions-by-need/stress/StressActions: SWITCH_TASK_SIMPLE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/stress/StressActions: DELEGATE_NONCRITICAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: BOUNDARY_SAY_NO -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/stress/StressActions: SOCIAL_VENT_SAFE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: MUSIC_CALM_SESSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: TIDY_MICRO_AREA -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: SUNLIGHT_FRESH_AIR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: HOT_BATH_SOAK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/stress/StressActions: AROMA_OR_INCENSE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/stress/StressActions: EVENING_UNWIND_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: KEEP_SEASONAL_RITE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: HOST_CLAN_HERITAGE_FEAST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: TEACH_CUSTOMS_TO_YOUTH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: MAINTAIN_RITUAL_ATTIRE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: CONSERVE_SACRED_OBJECTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: PRESIDE_AT_RITE_OF_PASSAGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: OBSERVE_TABOO_RULES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: RECITE_ORAL_HISTORY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: CRAFT_TRADITIONAL_ART -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: MARK_FESTIVE_CALENDAR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: UPHOLD_HOSPITALITY_CODE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: CLAN_SYMBOL_PROCESSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: ADJUDICATE_BY_CUSTOM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: INITIATE_NEW_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: INTERCLAN_GIFT_EXCHANGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/tradition/TraditionActions: ENFORCE_DRESS_AND_DECORUM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: KEEP_PROMISE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: SHARE_SECRET -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/trust/TrustActions: TRANSPARENT_ACCOUNTING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: PLEDGE_COLLATERAL -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/trust/TrustActions: SMALL_FAVOR_TEST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: RETURN_BORROWED -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/trust/TrustActions: VOUCH_FOR -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/trust/TrustActions: MUTUAL_AID_PACT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: ACCOMPANY_RISKY_TRIP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: GUARD_SLEEP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: REVEAL_VULNERABILITY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: FORGIVE_MISTAKE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/trust/TrustActions: VERIFY_RECORDS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: ESCROW_EXCHANGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: CONSISTENT_ATTENDANCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/trust/TrustActions: HANDSHAKE_OATH -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/waste/WasteActions: SCRAP_LEDGER_START -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: RETURNABLE_CONTAINERS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: COMPOST_PIT_SETUP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: TOOL_REPAIR_BENCH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: SPOILAGE_AUDIT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: RATION_PORTION_TOKENS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: SALVAGE_RUN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: GREYWATER_REUSE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: SHARED_TOOL_LIBRARY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: ASH_BRICK_PRESS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: MANURE_MANAGEMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/waste/WasteActions: REPAIR_CAFE_DAY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: MINE_RESOURCES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: CRAFT_VALUABLES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: TRADE_WITH_MERCHANT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: STORE_WEALTH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: COLLECT_TAX -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: HIRE_WORKERS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: LEND_RESOURCES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: DEMAND_PAYMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: DONATE_WEALTH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/wealth/WealthActions: SHOW_OFF_WEALTH -> rest (sleep and passive recovery; cost-signals)
